tecdoc_ktypnr;tecdoc_constr;tecdoc_constrcode;tecdoc_model1;finition;tecdoc_modelcode;tecdoc_cyl;tecdoc_litr;tecdoc_ccmtech;tecdoc_moisdseb;tecdoc_anneedeb;tecdoc_moisfin;tecdoc_anneefin;tecdoc_andeb;tecdoc_anfin;tecdoc_kw;tecdoc_cv;tecdoc_carross;tecdoc_propulsion;tecdoc_energie;tecdoc_codemoteur;tecdoc_nbcyl;tecdoc_nbsoup
1;OPEL;84;CORSA D;CORSA D 5598 2006;5598;1.4;1.4;1364;7;2006;0;0;juil-06;0;66;90;3/5 portes;Traction avant;Essence;Z 14 XEP;4;4
2;BMW;16;2;2 164 1975;164;1502;1.6;1563;1;1975;7;1977;janv-75;juil-77;55;75;A trois volumes;Propulsion;Essence;M10 B16;4;2
3;RENAULT;93;MEGANE III Coup?;MEGANE III Coup? 7867 2009;7867;2.0 TCe;2;1998;5;2009;0;0;mai-09;0;184;250;Coup?;Traction avant;Essence;F4R 874;4;4
4;BMW;16;2;2 164 1971;164;1602;1.6;1563;4;1971;7;1975;avr-71;juil-75;63;85;A trois volumes;Propulsion;Essence;M10 B16;4;2
5;BMW;16;2;2 164 1971;164;1802;1.8;1754;5;1971;7;1975;mai-71;juil-75;66;90;A trois volumes;Propulsion;Essence;M10 B18;4;2
6;BMW;16;2;2 164 1968;164;2002;2;1977;2;1968;7;1975;f?vr-68;juil-75;74;100;A trois volumes;Propulsion;Essence;M10 B20;4;2
7;BMW;16;02 D?capotable;02 D?capotable 1608 1971;1608;2002;2;1977;5;1971;7;1975;mai-71;juil-75;74;100;D?capotable;Propulsion;Essence;M10 B20;4;2
8;BMW;16;2;2 164 1971;164;2002 Tii;2;1977;5;1971;7;1975;mai-71;juil-75;96;130;A trois volumes;Propulsion;Essence;M10 B20;4;2
9;BMW;16;2;2 164 1974;164;2002 Turbo;2;1977;1;1974;7;1975;janv-74;juil-75;125;170;A trois volumes;Propulsion;Essence;M10 B20 (Turbo);4;2
10;BMW;16;1500-2000;1500-2000 187 1968;187;2000;2;1977;9;1968;7;1972;sept-68;juil-72;74;100;A trois volumes;Propulsion;Essence;M10 B20;4;2
11;BMW;16;3;3 286 1981;286;315;1.6;1563;3;1981;3;1984;mars-81;mars-84;55;75;A trois volumes;Propulsion;Essence;M10 B16 (164VB);4;2
12;BMW;16;3;3 286 1975;286;316;1.6;1563;8;1975;8;1980;ao?t-75;ao?t-80;66;90;A trois volumes;Propulsion;Essence;M10 B16 (164VA);4;2
13;BMW;16;3;3 286 1980;286;316;1.8;1754;9;1980;8;1982;sept-80;ao?t-82;66;90;A trois volumes;Propulsion;Essence;M10 B18 (184VC);4;2
14;BMW;16;3;3 286 1975;286;318;1.8;1754;8;1975;8;1980;ao?t-75;ao?t-80;72;98;A trois volumes;Propulsion;Essence;M10 B18 (184VA);4;2
