Code INSEE;Code Postal;Commune;Département;Région;geo_point_2d;Code Département;Code Région
1001;1400;L'ABERGEMENT-CLEMENCIAT;AIN;RHONE-ALPES;46.1534255214, 4.92611354223;1;82
1002;1640;L'ABERGEMENT-DE-VAREY;AIN;RHONE-ALPES;46.0091878776, 5.42801696363;1;82
1004;1500;AMBERIEU-EN-BUGEY;AIN;RHONE-ALPES;45.9608475114, 5.3729257777;1;82
1005;1330;AMBERIEUX-EN-DOMBES;AIN;RHONE-ALPES;45.9961799872, 4.91227250796;1;82
1006;1300;AMBLEON;AIN;RHONE-ALPES;45.7494989044, 5.59432017366;1;82
1007;1500;AMBRONAY;AIN;RHONE-ALPES;46.0055913782, 5.35760660735;1;82
1008;1500;AMBUTRIX;AIN;RHONE-ALPES;45.9367134524, 5.3328092349;1;82
1009;1300;ANDERT-ET-CONDON;AIN;RHONE-ALPES;45.7873565333, 5.65788307924;1;82
1010;1350;ANGLEFORT;AIN;RHONE-ALPES;45.9093715116, 5.79516005674;1;82
1011;1100;APREMONT;AIN;RHONE-ALPES;46.2054981558, 5.65781475272;1;82
1012;1110;ARANC;AIN;RHONE-ALPES;46.0015344029, 5.51130637511;1;82
1013;1230;ARANDAS;AIN;RHONE-ALPES;45.8908155275, 5.49870439091;1;82
1014;1100;ARBENT;AIN;RHONE-ALPES;46.2834936005, 5.69061651221;1;82
1015;1300;ARBIGNIEU;AIN;RHONE-ALPES;45.7237621545, 5.65263086429;1;82
1016;1190;ARBIGNY;AIN;RHONE-ALPES;46.4776762988, 4.9599416863;1;82
1017;1230;ARGIS;AIN;RHONE-ALPES;45.9337182132, 5.48251100314;1;82
1019;1510;ARMIX;AIN;RHONE-ALPES;45.8541838459, 5.58357838695;1;82
1021;1480;ARS-SUR-FORMANS;AIN;RHONE-ALPES;45.9934611, 4.82199649494;1;82
1022;1510;ARTEMARE;AIN;RHONE-ALPES;45.8695891748, 5.69065283943;1;82
1023;1570;ASNIERES-SUR-SAONE;AIN;RHONE-ALPES;46.3857281418, 4.88387478623;1;82
1024;1340;ATTIGNAT;AIN;RHONE-ALPES;46.2861802203, 5.1795233845;1;82
1025;1380;BAGE-LA-VILLE;AIN;RHONE-ALPES;46.3233203302, 4.9528678933;1;82
1026;1380;BAGE-LE-CHATEL;AIN;RHONE-ALPES;46.3077069231, 4.92862084189;1;82
1027;1360;BALAN;AIN;RHONE-ALPES;45.8311226453, 5.10780019249;1;82
1028;1990;BANEINS;AIN;RHONE-ALPES;46.1141214445, 4.90146475101;1;82
1029;1270;BEAUPONT;AIN;RHONE-ALPES;46.4288360203, 5.26003405676;1;82
1030;1480;BEAUREGARD;AIN;RHONE-ALPES;46.0008580204, 4.75600664694;1;82
1031;1100;BELLIGNAT;AIN;RHONE-ALPES;46.2373497134, 5.6360052884;1;82
1032;1360;BELIGNEUX;AIN;RHONE-ALPES;45.8591464826, 5.13989505865;1;82
1033;1200;BELLEGARDE-SUR-VALSERINE;AIN;RHONE-ALPES;46.1067901755, 5.83202736464;1;82
1034;1300;BELLEY;AIN;RHONE-ALPES;45.7494697806, 5.68412365526;1;82
1035;1130;BELLEYDOUX;AIN;RHONE-ALPES;46.2530316409, 5.78471723698;1;82
1036;1260;BELMONT-LUTHEZIEU;AIN;RHONE-ALPES;45.8847475883, 5.65115788055;1;82
1037;1470;BENONCES;AIN;RHONE-ALPES;45.8374974718, 5.48285330863;1;82
1038;1370;BENY;AIN;RHONE-ALPES;46.3188629218, 5.28253433405;1;82
1039;1350;BEON;AIN;RHONE-ALPES;45.8568920052, 5.75220315052;1;82
1040;1340;BEREZIAT;AIN;RHONE-ALPES;46.3674371012, 5.04021655965;1;82
1041;1500;BETTANT;AIN;RHONE-ALPES;45.9368718303, 5.36667617009;1;82
1042;1290;BEY;AIN;RHONE-ALPES;46.2191748844, 4.84642690241;1;82
1043;1700;BEYNOST;AIN;RHONE-ALPES;45.8390325448, 4.99738002182;1;82
1044;1200;BILLIAT;AIN;RHONE-ALPES;46.0791346715, 5.76591818163;1;82
1045;1330;BIRIEUX;AIN;RHONE-ALPES;45.9533995502, 5.03666479984;1;82
1046;1290;BIZIAT;AIN;RHONE-ALPES;46.2266794269, 4.94084673168;1;82
1047;1150;BLYES;AIN;RHONE-ALPES;45.8469686113, 5.25166055884;1;82
1049;1120;LA BOISSE;AIN;RHONE-ALPES;45.8446213549, 5.02783224111;1;82
1050;1190;BOISSEY;AIN;RHONE-ALPES;46.3727973545, 4.9989764059;1;82
1051;1450;BOLOZON;AIN;RHONE-ALPES;46.1960338503, 5.47095075411;1;82
1052;1330;BOULIGNEUX;AIN;RHONE-ALPES;46.0232774841, 4.99252709276;1;82
1053;1000;BOURG-EN-BRESSE;AIN;RHONE-ALPES;46.2051520382, 5.24602125501;1;82
